LATITUDE,LATITUDENAME,LONGITUD,LONGITUDNAME
32.43313333,32.43313333,-86.09485,-86.09485
33.48465833,33.48465833,-86.83954444,-86.83954444
33.29994167,33.29994167,-86.36964167,-86.36964167
33.79507222,33.79507222,-85.88348611,-85.88348611
32.84841389,32.84841389,-86.08354722,-86.08354722
34.50894167,34.50894167,-86.67485556,-86.67485556
33.3958,33.3958,-86.94728889,-86.94728889
31.95976111,31.95976111,-87.79064167,-87.79064167
31.49026944,31.49026944,-85.73967778,-85.73967778
34.42458333,34.42458333,-86.26212222,-86.26212222
34.64916111,34.64916111,-87.16822778,-87.16822778
33.44936111,33.44936111,-86.92616389,-86.92616389
33.17551389,33.17551389,-87.45895278,-87.45895278
31.19705556,31.19705556,-87.05590833,-87.05590833
31.14072222,31.14072222,-85.51620556,-85.51620556
34.26489722,34.26489722,-86.49575278,-86.49575278
33.47931944,33.47931944,-86.78717778,-86.78717778
34.26724444,34.26724444,-86.88271389,-86.88271389
32.47470556,32.47470556,-84.99638333,-84.99638333
33.51929722,33.51929722,-87.00559444,-87.00559444
30.68204167,30.68204167,-88.06745278,-88.06745278
34.06766111,34.06766111,-86.56032222,-86.56032222
34.05736944,34.05736944,-88.03118056,-88.03118056
32.58445833,32.58445833,-85.17462778,-85.17462778
34.94832778,34.94832778,-87.82361111,-87.82361111
33.72414167,33.72414167,-86.28841389,-86.28841389
31.464,31.464,-88.03200278,-88.03200278
33.49608056,33.49608056,-86.81624444,-86.81624444
30.53680833,30.53680833,-88.24033611,-88.24033611
32.44026111,32.44026111,-85.83268889,-85.83268889
33.57496667,33.57496667,-86.48591111,-86.48591111
33.67416389,33.67416389,-86.82925278,-86.82925278
30.97843056,30.97843056,-87.71637222,-87.71637222
33.341675,33.341675,-86.89884444,-86.89884444
33.17127222,33.17127222,-87.54825833,-87.54825833
30.95826111,30.95826111,-87.80111944,-87.80111944
33.17029167,33.17029167,-87.55260278,-87.55260278
33.54449722,33.54449722,-86.64278889,-86.64278889
34.123125,34.123125,-85.91501389,-85.91501389
34.44817778,34.44817778,-86.86934167,-86.86934167
30.75396111,30.75396111,-88.20454722,-88.20454722
33.358475,33.358475,-85.42518333,-85.42518333
31.50393056,31.50393056,-86.35542222,-86.35542222
32.60258056,32.60258056,-86.36498611,-86.36498611
34.75841944,34.75841944,-86.64116944,-86.64116944
33.35074722,33.35074722,-86.53566667,-86.53566667
30.43598056,30.43598056,-87.74242778,-87.74242778
34.7406,34.7406,-86.62809167,-86.62809167
31.13909167,31.13909167,-87.46351389,-87.46351389
33.03066111,33.03066111,-86.8723,-86.8723
31.42348611,31.42348611,-87.16169167,-87.16169167
32.15313889,32.15313889,-85.70260278,-85.70260278
32.10327222,32.10327222,-87.817025,-87.817025
31.09968056,31.09968056,-85.58911667,-85.58911667
32.71211944,32.71211944,-85.97814167,-85.97814167
31.87916111,31.87916111,-86.73305833,-86.73305833
31.72299722,31.72299722,-85.74411111,-85.74411111
32.31468056,32.31468056,-87.24141667,-87.24141667
34.35930833,34.35930833,-85.95434722,-85.95434722
34.2799,34.2799,-86.23803889,-86.23803889
33.1921,33.1921,-87.46683333,-87.46683333
33.58196667,33.58196667,-86.92234444,-86.92234444
31.47588611,31.47588611,-87.33756667,-87.33756667
33.58096111,33.58096111,-86.91989167,-86.91989167
31.43448056,31.43448056,-85.63309444,-85.63309444
33.6728,33.6728,-86.280725,-86.280725
32.83206111,32.83206111,-86.68208889,-86.68208889
33.84549722,33.84549722,-86.269525,-86.269525
33.19900278,33.19900278,-87.48229444,-87.48229444
31.72270833,31.72270833,-86.08243611,-86.08243611
31.20675556,31.20675556,-85.6256,-85.6256
30.99323056,30.99323056,-88.3312,-88.3312
32.00764444,32.00764444,-85.93280278,-85.93280278
33.93625556,33.93625556,-87.32323611,-87.32323611
31.20031111,31.20031111,-85.76842222,-85.76842222
32.11184167,32.11184167,-87.97593889,-87.97593889
34.90070278,34.90070278,-87.47831667,-87.47831667
32.41121667,32.41121667,-85.04750278,-85.04750278
34.61964167,34.61964167,-86.13480556,-86.13480556
34.38554167,34.38554167,-87.63837222,-87.63837222
31.2421,31.2421,-85.58913333,-85.58913333
34.59944167,34.59944167,-86.79354167,-86.79354167
31.53880833,31.53880833,-87.88701389,-87.88701389
34.83075278,34.83075278,-87.97306667,-87.97306667
33.39946389,33.39946389,-86.08250556,-86.08250556
34.76981667,34.76981667,-87.666725,-87.666725
33.78340556,33.78340556,-85.919675,-85.919675
31.52631944,31.52631944,-86.71785556,-86.71785556
34.17336389,34.17336389,-86.53299167,-86.53299167
34.13319167,34.13319167,-86.830975,-86.830975
32.46735278,32.46735278,-87.59396667,-87.59396667
33.59998889,33.59998889,-86.56984722,-86.56984722
33.54817222,33.54817222,-87.12646667,-87.12646667
31.25979444,31.25979444,-86.47035278,-86.47035278
30.71938333,30.71938333,-88.13892222,-88.13892222
34.40423611,34.40423611,-85.96555833,-85.96555833
33.97965833,33.97965833,-85.52133889,-85.52133889
34.94947222,34.94947222,-86.78562778,-86.78562778
34.76422222,34.76422222,-86.64555,-86.64555
34.05871389,34.05871389,-86.46934167,-86.46934167
30.53750556,30.53750556,-88.23891389,-88.23891389
32.36784444,32.36784444,-86.29968611,-86.29968611
30.68059167,30.68059167,-88.127175,-88.127175
32.96093056,32.96093056,-87.82379722,-87.82379722
32.36591111,32.36591111,-86.09650833,-86.09650833
32.71838889,32.71838889,-86.53108056,-86.53108056
30.69526389,30.69526389,-88.12479167,-88.12479167
32.8692,32.8692,-86.61034167,-86.61034167
30.780875,30.780875,-88.09827778,-88.09827778
33.49411944,33.49411944,-86.91571667,-86.91571667
33.8034,33.8034,-86.82490556,-86.82490556
34.58400278,34.58400278,-87.415975,-87.415975
33.46,33.46,-86.87811667,-86.87811667
33.53155556,33.53155556,-86.76963056,-86.76963056
33.79708056,33.79708056,-86.68642222,-86.68642222
31.57126944,31.57126944,-87.85046667,-87.85046667
33.61959444,33.61959444,-86.7891,-86.7891
31.83043056,31.83043056,-86.35746111,-86.35746111
34.72001111,34.72001111,-86.59115556,-86.59115556
34.84113056,34.84113056,-85.75276944,-85.75276944
32.34398056,32.34398056,-86.22313333,-86.22313333
33.61901389,33.61901389,-86.73861944,-86.73861944
33.50519167,33.50519167,-86.00268056,-86.00268056
33.34549722,33.34549722,-86.23196389,-86.23196389
34.18701667,34.18701667,-87.21153611,-87.21153611
34.36176667,34.36176667,-86.40290278,-86.40290278
32.61203333,32.61203333,-85.45984444,-85.45984444
34.51545,34.51545,-87.29174444,-87.29174444
32.37499722,32.37499722,-85.03712778,-85.03712778
33.72114722,33.72114722,-85.49009722,-85.49009722
32.67768889,32.67768889,-86.30459444,-86.30459444
33.55145833,33.55145833,-86.88343611,-86.88343611
32.00333333,32.00333333,-88.34351667,-88.34351667
33.945475,33.945475,-86.19660833,-86.19660833
33.81730278,33.81730278,-87.05041944,-87.05041944
32.81508056,32.81508056,-85.17124722,-85.17124722
33.00176667,33.00176667,-87.23998333,-87.23998333
34.57082778,34.57082778,-87.68378889,-87.68378889
33.60575833,33.60575833,-86.79755833,-86.79755833
33.90846944,33.90846944,-87.09305278,-87.09305278
31.25620278,31.25620278,-85.24524167,-85.24524167
34.57061667,34.57061667,-87.91744167,-87.91744167
33.56416111,33.56416111,-86.03959722,-86.03959722
34.25106667,34.25106667,-86.10591111,-86.10591111
31.04494444,31.04494444,-85.53697778,-85.53697778
32.43943889,32.43943889,-86.21697222,-86.21697222
33.78340833,33.78340833,-86.97199722,-86.97199722
34.47243333,34.47243333,-87.01998056,-87.01998056
33.33998889,33.33998889,-86.18894444,-86.18894444
31.72233056,31.72233056,-86.83305556,-86.83305556
32.59923056,32.59923056,-85.80194444,-85.80194444
31.25646111,31.25646111,-85.4611,-85.4611
33.57077778,33.57077778,-86.75395,-86.75395
32.50546944,32.50546944,-85.61073333,-85.61073333
31.44631111,31.44631111,-85.66569444,-85.66569444
34.32428333,34.32428333,-86.90070833,-86.90070833
33.48608889,33.48608889,-86.35100556,-86.35100556
34.46754167,34.46754167,-87.05464444,-87.05464444
31.01840833,31.01840833,-87.23039167,-87.23039167
34.13048611,34.13048611,-86.53979722,-86.53979722
33.25834444,33.25834444,-87.69906944,-87.69906944
31.98490278,31.98490278,-86.50312778,-86.50312778
32.73130278,32.73130278,-85.29283889,-85.29283889
33.50039722,33.50039722,-86.81433611,-86.81433611
32.80614444,32.80614444,-85.22691389,-85.22691389
33.86250556,33.86250556,-87.39317222,-87.39317222
32.660325,32.660325,-85.34126111,-85.34126111
32.44931944,32.44931944,-85.75006667,-85.75006667
32.52345,32.52345,-86.44104444,-86.44104444
34.27480556,34.27480556,-85.88024167,-85.88024167
30.66610278,30.66610278,-88.12746111,-88.12746111
33.50520833,33.50520833,-86.85446667,-86.85446667
34.70581667,34.70581667,-86.58885556,-86.58885556
34.87966667,34.87966667,-86.44674444,-86.44674444
34.33304444,34.33304444,-87.71826389,-87.71826389
33.27318889,33.27318889,-86.51004167,-86.51004167
34.35842778,34.35842778,-87.59974722,-87.59974722
33.49855,33.49855,-86.70865833,-86.70865833
33.60842778,33.60842778,-86.68896667,-86.68896667
33.88901389,33.88901389,-87.49762778,-87.49762778
